lat,lng
64.5,-157.5
64.5,-156.875
64.5,-156.25
64.5,-155.625
64.5,-155
64.5,-154.375
64.5,-153.75
64.5,-153.125
64.5,-152.5
64.5,-151.875
64.5,-151.25
64.5,-150.625
64.5,-150
64.5,-149.375
64.5,-148.75
64.5,-148.125
64.5,-147.5
64.5,-146.875
64.5,-146.25
64.5,-145.625
64.5,-145
64.5,-144.375
64.5,-143.75
64.5,-143.125
64.5,-142.5
64.5,-141.875
64.5,-141.25
64.5,-140.625
64.5,-140
65,-175.625
65,-175
65,-174.375
65,-173.75
65,-173.125
65,-172.5
65,-166.25
65,-165.625
65,-165
65,-164.375
65,-163.75
65,-163.125
65,-162.5
65,-161.875
65,-161.25
65,-160.625
65,-160
65,-159.375
65,-158.75
65,-158.125
65,-157.5
65,-156.875
65,-156.25
65,-155.625
65,-155
65,-154.375
65,-153.75
65,-153.125
65,-152.5
65,-151.875
65,-151.25
65,-150.625
65,-150
65,-149.375
65,-148.75
65,-148.125
65,-147.5
65,-146.875
65,-146.25
65,-145.625
65,-145
65,-144.375
65,-143.75
65,-143.125
65,-142.5
65,-141.875
65,-141.25
65,-140.625
65,-140
65.5,-180
65.5,-179.375
65.5,-178.125
65.5,-177.5
65.5,-176.25
65.5,-175.625
65.5,-175
65.5,-174.375
65.5,-173.75
65.5,-173.125
65.5,-172.5
65.5,-167.5
65.5,-166.875
65.5,-166.25
65.5,-165.625
65.5,-165
65.5,-164.375
65.5,-163.75
65.5,-163.125
65.5,-162.5
65.5,-161.875
65.5,-161.25
65.5,-160.625
65.5,-160
65.5,-159.375
65.5,-158.75
65.5,-158.125
65.5,-157.5
65.5,-156.875
65.5,-156.25
65.5,-155.625
65.5,-155
65.5,-154.375
65.5,-153.75
65.5,-153.125
65.5,-152.5
65.5,-151.875
65.5,-151.25
65.5,-150.625
65.5,-150
65.5,-149.375
65.5,-148.75
65.5,-148.125
65.5,-147.5
65.5,-146.875
65.5,-146.25
65.5,-145.625
65.5,-145
65.5,-144.375
65.5,-143.75
65.5,-143.125
65.5,-142.5
65.5,-141.875
65.5,-141.25
65.5,-140.625
65.5,-140
66,-180
66,-178.125
66,-177.5
66,-176.875
66,-176.25
66,-175.625
66,-175
66,-174.375
66,-173.75
66,-173.125
66,-172.5
66,-171.875
66,-171.25
66,-170.625
66,-166.25
66,-165.625
66,-165
66,-164.375
66,-163.75
66,-163.125
66,-162.5
66,-161.875
66,-161.25
66,-160.625
66,-160
66,-159.375
66,-158.75
66,-158.125
66,-157.5
66,-156.875
66,-156.25
66,-155.625
66,-155
66,-154.375
66,-153.75
66,-153.125
66,-152.5
66,-151.875
66,-151.25
66,-150.625
66,-150
66,-149.375
66,-148.75
66,-148.125
66,-147.5
66,-146.875
66,-146.25
66,-145.625
66,-145
66,-144.375
66,-143.75
66,-143.125
66,-142.5
66,-141.875
66,-141.25
66,-140.625
66,-140
66.5,-180
66.5,-179.375
66.5,-178.75
66.5,-178.125
66.5,-177.5
66.5,-176.875
66.5,-176.25
66.5,-175.625
66.5,-175
66.5,-173.75
66.5,-173.125
66.5,-172.5
66.5,-171.875
66.5,-171.25
66.5,-164.375
66.5,-163.75
66.5,-161.875
66.5,-161.25
66.5,-160
66.5,-159.375
66.5,-158.75
66.5,-158.125
66.5,-157.5
66.5,-156.875
66.5,-156.25
66.5,-155.625
66.5,-155
66.5,-154.375
66.5,-153.75
66.5,-153.125
66.5,-152.5
66.5,-151.875
66.5,-151.25
66.5,-150.625
66.5,-150
66.5,-149.375
66.5,-148.75
66.5,-148.125
66.5,-147.5
66.5,-146.875
66.5,-146.25
66.5,-145.625
66.5,-145
66.5,-144.375
66.5,-143.75
66.5,-143.125
66.5,-142.5
